SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Ames Creek mouth at NE 100th St,AMES_1,47.6867,-121.9833,Streams and Rivers,Ames Creek,POINT (-121.9833333 47.68666667)
Issaquah Creek mouth at NW Sammamish Rd,0631,47.5522,-122.0479,Streams and Rivers,Issaquah,POINT (-122.0479444 47.55216667)
Carkeek Park,ITCARKEEKP,47.7126,-122.379,Marine Intertidal,Central Puget Sound,POINT (-122.3789978 47.7126007)
Lake Sammamish near George Davis Creek,0622,47.6153,-122.0695,Large Lakes,Lake Sammamish,POINT (-122.06947 47.615276)
Lake Wilderness Park Beach,O717SB,47.3768,-122.0388,Swimming Beaches,Lake Wilderness,POINT (-122.03883 47.37683)
Fey Bainbridge Park,KRJY01,47.7042,-122.506,Marine Intertidal,Central Puget Sound,POINT (-122.5059967 47.7042007)
Point Williams - Shallow,LSNT01S,47.5372,-122.4061,Marine Offshore,Central Puget Sound,POINT (-122.406117 47.5371639)
Green River at Starfire Way,3106,47.4678,-122.249,Streams and Rivers,Green,POINT (-122.2489722 47.46780556)
Lake Washington east of Mercer Island,0840,47.5387,-122.2063,Large Lakes,Lake Washington,POINT (-122.20633 47.53871)
Meydenbauer Bay Park Beach,0834SB,47.6104,-122.2097,Swimming Beaches,Lake Washington,POINT (-122.20972 47.610443)
Forbes Creek at 108th Ave NE,A456,47.6959,-122.1979,Streams and Rivers,Forbes,POINT (-122.19791 47.695934)
May Creek mouth at Lake Washington Blvd N,0440,47.53,-122.2013,Streams and Rivers,May,POINT (-122.2013056 47.52997222)
Lincoln Park,LSTU01,47.53,-122.401,Marine Intertidal,Central Puget Sound,POINT (-122.401001 47.5299988)
Duwamish River - Harbor Island Marina,LTKE03,47.5695,-122.351,Marine Offshore,Central Puget Sound,POINT (-122.3509979 47.5695)
North Fork Snoqualmie at 428th Ave SE,NFK_SNQ,47.5219,-121.7694,Streams and Rivers,Snoqualmie - North Fork,POINT (-121.7694444 47.52194444)
Lake Sammamish mid-lake central,0612,47.5912,-122.0957,Large Lakes,Lake Sammamish,POINT (-122.09568 47.59121)
Magnuson Park Off Leash Area,0826OLA,47.6856,-122.2483,Swimming Beaches,Lake Washington,POINT (-122.248344 47.68556)
Seacrest Park,LSGY01,47.5891,-122.38,Marine Intertidal,Central Puget Sound,POINT (-122.3799973 47.5890999)
Boise Creek mouth at SE Mud Mountain Rd,BSE_1MUDMTNRD,47.1761,-122.0184,Streams and Rivers,Boise,POINT (-122.0184333 47.17608333)
